nombre,nombre_cientifico,clase,continente,habitat,dieta,peso,tamano,estado_conservacion,image_url,url,image_file
Pandas Gigantes,Ailuropoda melanoleuca,Mamíferos,,Bosque templado,Herbívoro,150 - 120 kg,170 - 180 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/panda-gigante/Oso-panda-gigante-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/panda-gigante,001-Oso-panda-gigante-Zoo-Madrid-2.jpg
Elefante de Sumatra,Elephas maximus ssp. sumatranus,Mamíferos,Asia,Bosques de tierras bajas,Herbívoro,2700 - 5400 kg,2 - 3 m,En peligro crítico,https://www.zoomadrid.com/content/dam/zoo/images/animals/elefante-asiatico/Elefante-asiatico-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/elefante-asiatico,002-Elefante-asiatico-Zoo-Madrid-2.jpg
Jirafa,Giraffa camelopardalis rothschildi,Mamíferos,África,Sabana,Herbívoro,830 - 1.400 Kg,6 m,Casi amenazada,https://www.zoomadrid.com/content/dam/zoo/images/animals/jirafa/Jirafa-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/jirafa,003-Jirafa-Zoo-Madrid-2.jpg
Casuario,Casuarius casuarius,Mamíferos,Oceanía,Selva tropical y sabana,Frugívoro,70 kg,170 - 190 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/casuario/Casuario-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/casuario,004-Casuario-Zoo-Madrid-2.jpg
Buitre leonado,Gyps Fulvus,Aves,Europa,"Sabana, pastizales y acantilados",Carnívoro,6 - 9 kg,"2,30 - 2,65 m",Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/buitre-leonado/Buitre-leonado-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/buitre-leonado,005-Buitre-leonado-Zoo-Madrid-main.jpg
Ibis sagrado,Threskiornis aethiopicus,Aves,África,"Bosques, ríos, marismas, pantanos y lagunas",Carnívoro,"1,5 kg",65 - 80 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/ibis-sagrado/Ibis-sagrado-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/ibis-sagrado,006-Ibis-sagrado-Zoo-Madrid-main.jpg
Oso malayo,Helarctos malayanus,Mamíferos,Asia,Bosque tropical,Omnívoro,30 - 90 kg,"1 - 1,5 m",Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/oso-malayo/Oso-malayo-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/oso-malayo,007-Oso-malayo-Zoo-Madrid-main.jpg
Gacela Dorcas Saharahui,Gazella dorcas neglecta,Mamíferos,África,Desierto,Herbívoro,20 kg,90 - 110 cm,Vulnerable,https://www.zoomadrid.com/content/dam/zoo/images/animals/gacela-dorcas/Gacela-dorcas-Zoo-Madrid-main.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/gacela-dorcas,008-Gacela-dorcas-Zoo-Madrid-main.jpg
Lobo gris,Canis lupus occidentalis,Mamíferos,América del Norte,Tundra,Carnívoro,14 - 65 kg,1 a 2 m,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/lobo-gris/Lobo-gris-Zoo-Madrid-2.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/lobo-gris,009-Lobo-gris-Zoo-Madrid-2.jpg
Guacamayo rojo de alas verdes,Ara chloroptera,Aves,América del Sur,Bosque tropical,Frugívoro,"1 - 1,7 kg",85 - 95 cm,Preocupación menor,https://www.zoomadrid.com/content/dam/zoo/images/animals/guacamayo-rojo-de-alas-verdes/Guacamallo-rojo-alas-verdes-Zoo-Madrid-3.jpg,https://www.zoomadrid.com/animales-y-continentes/animales/guacamayo-rojo-de-alas-verdes,010-Guacamallo-rojo-alas-verdes-Zoo-Madrid-3.jpg
